loan_id,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income
zzvJqmpl-qHW4,EDUCATION,B,5000,11.11,1,0.08
jIC7xbmw-QZCC,DEBTCONSOLIDATION,C,5000,12.61,0,0.11
qCdf9GZz-L77C,EDUCATION,A,12000,7.88,0,0.11
7UhSsIcq-qwfJ,VENTURE,C,8000,13.23,0,0.17
aOjmmHcx-NUrz,MEDICAL,A,2500,7.14,0,0.06
t9dKvc6a-4eAL,medical,C,22000,15.23,0,0.19
l9EPSfDx-nziW,education,A,9250,8.59,0,0.14
FhCLsutG-r5cl,DEBTCONSOLIDATION,D,5000,14.96,1,0.06
baTgkZg4-jQU9,education,B,10800,10.36,0,0.14
SEY04CqK-kmio,MEDICAL,A,2000,8.49,0,0.06
pfZt2Pt8-6uSm,EDUCATION,B,3000,9.76,0,0.07
5Tnt4dtJ-ZqgH,homeimprovement,C,3000,13.92,1,0.18
jZFHRSRP-Mqxk,MEDICAL,B,10000,9.62,0,0.13
AdYJhW6w-kGyZ,,,7000,7.88,0,0.13
QwlQUhy4-MDNN,venture,B,10000,9.99,0,0.19
c8n3apdT-KQUo,VENTURE,A,3600,5.99,0,0.07
rQAnQB3b-Hzn4,EDUCATION,B,22000,10.25,0,0.29
g13h8IDL-9kCQ,venture,A,9000,7.49,0,0.09
pUdflsXA-sbjB,venture,C,1600,,0,0.06
SmuPuMDD-b1dF,venture,D,25000,14.96,0,0.27
2H43FPa6-Hpsm,DEBTCONSOLIDATION,B,18000,10.37,0,0.16
Wcsvj4l2-rpwN,education,C,5600,12.53,0,0.11
ejWE6OIf-tjuM,PERSONAL,A,11000,6.62,0,0.06
Zvgx054C-BIc1,MEDICAL,E,10000,19.03,1,0.38
iNd7ZPCp-PhJg,homeimprovement,C,2800,12.68,0,0.03
ZiIYXvD7-5Pca,debtconsolidation,C,10000,12.53,0,0.22
LWgLjUDv-xI3K,personal,,,,0,0.11
I1c4yNF4-mTBy,EDUCATION,A,10625,6.03,0,0.15
OynzBmJP-HoBp,venture,D,2400,16.77,0,0.07
KDUjaQwu-lC10,MEDICAL,B,6000,10.37,1,0.2
ykdIIRt0-Ru6t,venture,A,18000,7.9,1,0.36
bYx3PNKH-gRlt,DEBTCONSOLIDATION,,12400,10.74,0,0.22
KRnX4Eg7-80T1,medical,A,4750,9.32,1,0.28
pefGhZBX-5W0u,EDUCATION,B,5000,11.11,0,0.09
zRmY7OmN-LP9l,EDUCATION,A,10000,7.14,0,0.25
4qWQT7R6-qzXP,HOMEIMPROVEMENT,A,4000,5.99,1,0.09
npGU8f2c-np02,homeimprovement,A,10200,6.91,0,0.15
vimXFcGs-wAx8,debtconsolidation,B,16000,10.38,0,0.26
ob9Yrlfi-Ocpc,personal,B,11000,11.49,0,0.17
CxTsRPHT-4EKD,medical,A,6000,5.42,0,0.05
AjkBv8Tz-KMLM,PERSONAL,B,10000,9.91,0,0.13
o6HjCfkq-hguu,MEDICAL,A,13000,8.49,1,0.18
r1vJlIgD-ugjL,EDUCATION,D,18500,16.02,1,0.37
PwQksUG4-Pz9n,medical,A,9600,5.42,0,0.2
yIYytB6n-2avo,VENTURE,A,,9.88,1,0.31
9UswRTJo-YKGt,EDUCATION,D,6000,15.58,1,0.1
YaENZthR-8hUw,VENTURE,B,12000,10.38,0,0.31
w9XywDLi-L5AZ,DEBTCONSOLIDATION,B,8000,9.91,1,0.2
JP7dj2Dh-yuPp,VENTURE,B,15000,11.12,0,0.31
ZidUELti-26nP,DEBTCONSOLIDATION,A,18000,7.88,0,0.36
e6sluwHp-iUji,personal,D,8000,15.05,0,0.1
NiMQUqJb-4jO6,HOMEIMPROVEMENT,B,15000,10.37,0,0.12
BISkmiun-jgbx,EDUCATION,A,4400,6.76,0,0.18
e4bhNFFz-stxp,debtconsolidation,B,7500,12.18,0,0.09
8rcqDkI3-vHHI,MEDICAL,C,5000,13.98,1,0.3
hkfloBdC-yLCa,MEDICAL,B,6225,9.76,1,0.31
mD49akDA-s4O3,PERSONAL,D,12000,14.96,0,0.21
yW5KGGze-1fxb,VENTURE,B,6000,10.74,0,0.21
P1rEaRU9-Ydcr,VENTURE,B,11500,10.38,0,0.09
oRfw5jOI-DMOv,HOMEIMPROVEMENT,C,5675,13.23,0,0.06
7QEZdm7E-tA5R,personal,C,5000,13.49,1,0.13
ie5ATLXh-Xi5T,PERSONAL,A,3000,7.9,1,0.3
csAX8997-gIyh,VENTURE,A,4750,,0,0.23
Na9MyPvP-pmJY,MEDICAL,D,16000,14.74,1,0.33
533GSTxK-EDjy,,D,,13.06,1,0.41
xWXT3UWB-iAzx,HOMEIMPROVEMENT,A,4100,6.92,0,0.03
uKtIniqY-TkAP,medical,A,10000,7.29,0,0.14
a7Fz1JOC-Ovfc,DEBTCONSOLIDATION,C,1500,,0,0.11
Tll0rfYY-fWe5,HOMEIMPROVEMENT,B,5000,10.0,0,0.06
K8d0yxrq-cpsx,debtconsolidation,A,12000,7.88,0,0.09
3KYNw7nB-dF96,medical,,3500,15.28,,0.05
9MPRQBcG-jzmH,medical,A,14000,7.88,0,0.13
ek1NNGde-twCD,VENTURE,B,20000,10.62,0,0.19
NmZYezQL-GGEp,homeimprovement,B,2725,12.18,1,0.06
KXgIJoMu-g0yM,VENTURE,D,4000,,1,0.12
fqkxvMI3-pO7F,HOMEIMPROVEMENT,A,5500,5.99,1,0.14
BJ4sfiRv-p5BP,DEBTCONSOLIDATION,A,7000,6.99,0,0.14
oyCtxXMr-xTr2,HOMEIMPROVEMENT,A,18000,7.88,1,0.33
EM2rsFg4-2clH,EDUCATION,A,9800,,0,0.16
IKGkqxzy-RcHp,education,C,5000,14.26,0,0.05
6YP6qG17-0237,PERSONAL,A,10000,7.51,0,0.1
EjcdpjCl-Hh2r,medical,D,9000,15.05,1,0.11
sEPhAaRU-YL8T,MEDICAL,D,14400,15.7,1,0.5
8wNIF5FB-7zsb,DEBTCONSOLIDATION,A,10000,7.88,0,0.23
60rWt7t1-THxh,debtconsolidation,A,9000,7.9,0,0.23
kJk8Hu4J-6JJa,medical,C,1500,13.72,1,0.05
xLoK2aHj-hgtE,EDUCATION,C,3000,,0,0.03
vG4aKXlG-Hdx4,MEDICAL,B,4000,9.88,0,0.05
QDkGCpij-dHLS,VENTURE,A,7600,7.88,0,0.16
a5Lq3bJU-mkK9,VENTURE,D,5400,16.0,1,0.12
emllPw3q-SPlj,HOMEIMPROVEMENT,B,18000,11.89,0,0.25
Uhu4UhBJ-Hjmk,personal,B,8000,9.63,0,0.13
6miHae5g-dcm0,venture,A,7200,8.0,0,0.17
sCG95lLH-qMqU,personal,A,1700,,1,0.05
HRWe2fpt-t2Dr,MEDICAL,B,13000,12.69,1,0.12
cQZfmtRA-owLd,VENTURE,D,19400,16.0,0,0.15
pw1D8xS2-dvfH,personal,B,8400,11.89,0,0.28
lTORsDaX-g7Bm,DEBTCONSOLIDATION,A,15000,6.54,0,0.2
ct6W8N79-J8vq,DEBTCONSOLIDATION,B,12000,12.53,1,0.22
r3wmPL9A-4fmC,VENTURE,C,4000,10.78,0,0.13
0rzcF1EA-dRYn,venture,A,10000,6.03,0,0.08
aT29HFsN-uDmS,PERSONAL,B,6000,9.91,0,0.12
YQOlZ2vp-DAGy,debtconsolidation,D,6000,16.89,1,0.19
vNUuinIc-46W4,education,A,15000,8.9,1,0.34
hk0nEeaL-8Kcx,MEDICAL,B,15000,11.14,0,0.15
6sXUDpWf-Nic3,debtconsolidation,D,8400,,1,0.09
Z7yjCkpA-nYMP,medical,A,16000,9.63,0,0.05
Mfr1xgxL-TWCp,EDUCATION,C,6000,12.99,0,0.11
zFTAFFn0-5Yfo,homeimprovement,A,6000,5.42,0,0.14
z3NK3iih-O8ce,EDUCATION,B,3000,12.42,0,0.04
6If1fwk8-4UEJ,DEBTCONSOLIDATION,A,7000,8.9,0,0.3
FXoAITi9-cjr4,homeimprovement,A,10000,7.14,0,0.08
RiYeiLf2-S1DA,EDUCATION,A,15000,8.94,0,0.1
oKb1w4Dl-gEj7,venture,B,4000,8.88,0,0.07
ycGt46Zl-w8HU,HOMEIMPROVEMENT,C,10700,14.22,0,0.07
sut8oG7I-0S7f,education,B,15000,9.99,0,0.23
hyzrkwAS-zXNL,MEDICAL,A,8000,7.9,0,0.11
PInkMnXN-e5CC,VENTURE,D,15000,14.96,1,0.44
wll3jCnM-d8OK,PERSONAL,B,8000,12.21,0,0.18
EcA9IOLP-EpHP,venture,C,10000,13.49,0,0.12
8EdMlms3-xMtW,debtconsolidation,A,12000,6.03,0,0.13
fUIgSgOk-3ZN9,HOMEIMPROVEMENT,D,1000,16.29,0,0.06
3k0SgjDO-NWG4,medical,D,16000,15.99,1,0.12
BcCWuOOu-f4yY,PERSONAL,C,6000,15.96,1,0.18
FM8uNM7n-yUPf,,D,19200,,,0.26
H6HN00u5-U9je,education,A,8000,7.51,0,0.22
O74R0cEJ-W1I2,MEDICAL,B,18250,10.25,1,0.43
XYelaaBM-7Mwa,PERSONAL,B,4000,10.37,0,0.03
ZjdyUQ9p-0x7B,VENTURE,B,10000,11.71,0,0.19
gjibWvxS-Exse,EDUCATION,B,10000,10.71,1,0.05
t2GviEws-k9zJ,debtconsolidation,C,12000,12.87,1,0.38
jGosfFS7-dLtg,education,C,11000,14.22,0,0.18
hW2e3NiJ-7Zf3,venture,B,11500,,0,0.4
5DOnaekt-Wu4e,PERSONAL,A,5400,8.94,0,0.07
jBeKLq17-p2Bv,homeimprovement,D,3325,16.89,0,0.06
0PjRKxZF-2olz,education,A,22750,8.9,0,0.35
iedonniw-Qeoe,EDUCATION,D,12000,12.49,0,0.16
m23gJTq3-Igjm,EDUCATION,A,12000,,0,0.2
xodXOCRS-Uopb,HOMEIMPROVEMENT,D,6400,16.29,1,0.22
CzeSPLnD-TJEr,venture,B,14000,12.42,0,0.16
QK9byOu8-JrZz,debtconsolidation,B,10000,12.21,0,0.11
ez3kYm85-1UnZ,personal,A,5150,6.62,0,0.05
fIl2dGsS-UZ56,debtconsolidation,C,4000,13.98,1,0.27
yvssWcmx-84BA,venture,B,4000,12.69,0,0.09
pUBfCwBJ-flW8,VENTURE,B,29000,12.69,1,0.36
qUwNHuD1-JiLE,MEDICAL,A,18000,8.94,1,0.24
QxNrBuJy-auwo,education,D,2300,13.17,0,0.06
uhYsCNqv-R4nm,VENTURE,B,1800,9.63,0,0.02
Cuznruv2-q6cx,HOMEIMPROVEMENT,B,5200,10.75,0,0.07
hg9LyCkk-Rsfw,HOMEIMPROVEMENT,B,20000,9.99,0,0.32
QWbEqo4R-en3m,VENTURE,B,25000,11.83,0,0.26
RvwOAPnM-9qiW,VENTURE,D,15275,16.89,0,0.2
EXdY2AYB-BNkl,EDUCATION,B,10000,12.42,1,0.31
pR9qrHeA-xPuv,MEDICAL,B,17000,10.95,0,0.29
do3Pj6Da-8CLz,EDUCATION,A,9000,5.79,0,0.21
Kht1NOPS-33Gc,MEDICAL,B,24000,10.62,0,0.17
QZ3RsGt8-8FxX,PERSONAL,A,5000,,0,0.12
Funck3vU-v4WD,venture,D,1825,15.62,1,0.13
bsPEoph6-pX06,education,B,,9.32,,0.08
rii64y0N-PqMb,VENTURE,B,13500,11.49,0,0.07
jXKYgQDb-L6D9,VENTURE,A,9575,9.63,0,0.17
BH4wCvc0-e74L,homeimprovement,B,12000,11.14,0,0.14
UIoqJ7CC-WuGE,venture,A,12000,7.49,0,0.15
CUZAfKqP-l1oW,EDUCATION,E,10000,,0,0.25
2ZvSRMsR-G4Xz,medical,A,10000,6.91,0,0.08
R3x88FdN-uYA5,personal,C,10200,12.73,0,0.19
uwocXbIZ-JPoN,medical,B,8000,11.14,1,0.37
QgtSQGoR-N5CZ,EDUCATION,B,3600,11.86,0,0.04
7pz2gErN-juXW,,C,9000,8.49,0,0.15
xoSXm0Dv-3JQP,VENTURE,D,11500,14.09,0,0.28
xMWvaKGM-fRSZ,MEDICAL,A,1000,7.37,0,0.03
c8RSpyWK-RIGc,personal,D,2500,15.7,1,0.07
EcvzI9si-WG0y,EDUCATION,C,3000,13.85,1,0.19
eYw1jU0w-hBNF,venture,B,3000,11.36,0,0.03
icgtSFND-uOfW,PERSONAL,D,3500,16.07,1,0.22
HoYqACFs-A2TN,PERSONAL,D,13750,15.31,1,0.51
WWROnHTZ-iuCu,EDUCATION,C,3900,14.35,0,0.06
PqP1ejuL-Ki6o,debtconsolidation,C,1500,12.73,1,0.16
wAhreapv-hUpI,education,A,4500,6.76,0,0.09
cPOyTE4b-n5Cm,DEBTCONSOLIDATION,B,2275,11.86,0,0.04
0hUc4Qjj-WW8j,medical,C,5000,,0,0.18
uAsqQzf3-OBOB,medical,A,9000,,0,0.08
atlCOUQS-CLpi,EDUCATION,B,8500,,0,0.18
bI9SDUi2-P99k,venture,C,4200,13.49,0,0.1
exd4CJKk-s3ml,venture,A,2500,5.79,0,0.06
OjaiQWgs-AShG,medical,A,12000,6.91,0,0.15
YrsLklNM-QNw7,EDUCATION,A,5000,6.54,0,0.08
ta0p7RZp-Xsvu,debtconsolidation,A,6000,7.51,0,0.2
FsK5JeS0-7Cuj,MEDICAL,A,5875,6.17,0,0.08
4NHe4vfi-QLvW,debtconsolidation,A,8000,,0,0.15
JZUwT5vk-NjBp,education,A,2800,6.92,0,0.06
gfP1sJ5n-Nu2J,MEDICAL,B,6000,10.59,0,0.19
ZCHgaycA-wXoB,HOMEIMPROVEMENT,C,7200,13.98,0,0.11
h0GTMzNz-4rG4,EDUCATION,C,4200,14.22,0,0.08
fUj2wbhY-RXi6,PERSONAL,D,8000,16.32,0,0.08
Nyf5OkOA-gkXf,personal,A,5275,,0,0.11
W6p1R3sz-uhZ9,VENTURE,A,11000,8.49,0,0.07
zXE2lfIz-Y3ZH,medical,A,3850,8.49,0,0.08
W3QjfBO2-jmhO,personal,A,10000,5.42,0,0.24
lG7lSI8m-OvxF,VENTURE,A,5000,,0,0.05
d7JaEUzh-p3Gy,VENTURE,B,7500,11.49,0,0.07
RE4vIUyJ-mkvs,DEBTCONSOLIDATION,B,7125,9.67,0,0.3
BHHUzeUi-IwLJ,VENTURE,A,7500,7.51,0,0.16
laAm9UPG-BzGJ,education,B,18500,,0,0.6
kWJLMt5l-AoyM,VENTURE,D,8400,16.89,0,0.14
S91jbMIf-wa1o,VENTURE,B,7000,9.91,0,0.05
vNJtYQiC-2mhI,education,C,10800,12.84,0,0.23
2OuPu8qh-deSt,DEBTCONSOLIDATION,B,15000,11.99,1,0.31
ZZa3qkeO-1SRC,venture,C,4800,13.22,0,0.1
25adeb6B-qoXh,EDUCATION,A,5000,8.0,0,0.08
jBU3uRdf-ULsU,DEBTCONSOLIDATION,B,4000,10.65,0,0.08
jQXqcT99-Stqj,MEDICAL,G,24000,20.03,1,0.18
eGyULPP2-9DB5,personal,B,5000,11.36,0,0.08
L1PAn5bR-2DEl,personal,A,12000,5.79,0,0.15
4hP7LQjy-8KKi,PERSONAL,B,8500,11.83,0,0.14
JCzGfrmR-muk6,EDUCATION,A,7000,5.79,0,0.15
mbIeTf5T-bvr0,MEDICAL,D,20000,14.91,1,0.27
kFnTCjaM-Eii5,education,B,6000,9.91,0,0.07
0CcnU6Qy-ZoQy,PERSONAL,A,1400,6.99,0,0.06
crUrpxPP-xEKt,EDUCATION,A,15000,8.49,0,0.18
F3JqZQGW-iJI7,EDUCATION,A,10000,,0,0.17
fNPrwmOr-4Tc7,PERSONAL,B,6000,10.99,0,0.12
x8B2bLLP-a4WB,HOMEIMPROVEMENT,B,15000,11.11,0,0.17
GB16SgNY-nS7U,venture,C,14650,12.61,0,0.24
qPE6Pq5m-9fai,medical,C,8000,13.72,0,0.28
ZukWobxi-Zt1p,medical,D,4900,15.95,1,0.07
nJMigi3K-0p0O,DEBTCONSOLIDATION,D,2000,17.49,1,0.14
zA0IW8Y5-jhwh,HOMEIMPROVEMENT,D,6000,14.59,0,0.12
KWnDHsco-GZNk,PERSONAL,D,7500,12.61,0,0.22
z0Dckh5D-9cmQ,EDUCATION,D,29000,15.65,0,0.33
boG9fi69-Uqoy,personal,A,6000,5.42,0,0.07
CUIiC43Z-LmHG,PERSONAL,A,6000,8.9,1,0.09
atQCu5Pe-xW8N,personal,A,4200,,0,0.06
kqySRbYQ-ZU44,HOMEIMPROVEMENT,C,5000,,0,0.11
APDYSFwg-Zq4b,MEDICAL,A,10000,9.63,1,0.19
0dXJBCYJ-ti1S,debtconsolidation,A,9600,6.91,0,0.07
0royhM6s-Tj8X,debtconsolidation,B,10000,12.53,0,0.12
8ITzlEE4-W1X6,PERSONAL,B,15000,9.99,0,0.2
v3gNZzhv-wFRy,VENTURE,A,4000,7.51,0,0.15
yCNoyWOm-D7ls,medical,C,8000,13.61,0,0.22
uqKLAfKW-nAk0,venture,A,5750,8.0,0,0.08
QiRU0nfF-AEa9,DEBTCONSOLIDATION,A,8000,6.62,0,0.16
I4Tb3kzR-E7bg,medical,B,7500,11.36,0,0.12
KZZ0BZZR-nhso,personal,B,8000,12.12,1,0.22
R26D310G-84SC,MEDICAL,C,12000,15.96,0,0.26
5Ny3KDpX-bXWg,personal,A,20000,7.9,0,0.13
47NN9iZu-Jl3J,PERSONAL,A,10000,6.62,0,0.1
4kkDYjoH-lbFt,MEDICAL,D,25000,16.07,1,0.23
h0oDhLmM-OrEm,DEBTCONSOLIDATION,C,9000,15.96,0,0.17
3Mb389gX-K7Cq,medical,A,10800,6.99,0,0.1
0T2YFLWb-IZze,DEBTCONSOLIDATION,A,12000,7.88,0,0.12
4YNBjFt8-2L1w,MEDICAL,B,8000,11.46,1,0.11
pAx94umr-nbGX,PERSONAL,A,1500,5.42,0,0.02
pZhNTnDh-yn4m,medical,C,10000,11.09,0,0.24
htv0LsC4-usEZ,EDUCATION,A,3000,8.32,0,0.12
xj9v9K9k-s3Wk,EDUCATION,C,15000,15.96,1,0.31
wueqO16Z-cdcG,PERSONAL,A,10000,8.59,0,0.24
IJHqTi1w-PEGa,VENTURE,A,4000,7.88,0,0.14
Xyppv91Z-69Pk,VENTURE,A,7200,6.62,0,0.09
03qBmqz8-wOso,EDUCATION,C,14000,14.35,0,0.25
MP37gHxu-f42a,VENTURE,C,6500,13.98,0,0.06
YKzBrAP7-vCAN,VENTURE,B,5000,10.99,0,0.05
qZrvhJsP-XDEG,VENTURE,B,11800,10.95,1,0.34
eEAFzKAT-114R,EDUCATION,C,5000,,0,0.17
IBMbOuFj-f6ut,EDUCATION,B,2100,11.86,0,0.03
b2xpTFYZ-JmMv,VENTURE,D,13650,16.29,1,0.26
JUo3YYIM-A8uj,DEBTCONSOLIDATION,C,6900,12.87,0,0.18
QxdBboWP-KKFh,EDUCATION,A,5000,7.49,0,0.21
PhYuO87A-MmX5,MEDICAL,B,18000,10.0,0,0.18
wpoXDjtR-gjbR,medical,B,5000,10.74,0,0.09
EIz4n31u-wr8l,EDUCATION,A,11000,5.42,0,0.31
ZMqsCR8M-Gl0Z,HOMEIMPROVEMENT,C,10000,12.87,0,0.12
rCMSHJbs-rNnT,personal,B,10000,11.11,0,0.14
iLqNvnq6-4bfn,DEBTCONSOLIDATION,C,2350,14.17,0,0.11
FdJqX4NN-c4rg,DEBTCONSOLIDATION,B,7000,9.25,0,0.12
orzNjr5C-9C6r,personal,A,3600,8.0,0,0.1
98lDzwyP-u5kJ,EDUCATION,D,9600,14.61,0,0.23
d2Cfepas-leRN,education,B,4500,,1,0.08
jUpMyy3T-SECK,DEBTCONSOLIDATION,A,2000,7.88,0,0.03
HdH2clpv-n9dL,venture,A,14000,,1,0.34
FptECc0u-OiGF,EDUCATION,B,10500,9.99,1,0.36
SCAJUPxt-sazF,MEDICAL,D,12000,16.77,1,0.14
nhwNop5a-nc5L,VENTURE,B,10000,9.99,0,0.18
