person_id,person_age,person_income,person_home_ownership,person_emp_length
UWiSRE9G-YbTg,24,45792,rent,3.0
cRfpHMfx-ahHh,29,21996,OWN,7.0
PEZJH7yP-ic5W,26,36120,RENT,0.0
Jd3d9mDD-ZFbM,31,33000,rent,1.0
XxEbSA5D-2M9m,21,35000,RENT,3.0
suKGFwcX-2l6h,24,16800,rent,2.0
c0cs16bF-hsTF,,61455,,1.0
CThqJS2W-adjs,34,120000,mortgage,10.0
z0xjdB4P-lIoN,27,72000,RENT,4.0
bRYeof0L-cqHI,30,100000,RENT,13.0
vqmUBCRR-M1T0,24,37950,rent,8.0
m453kdzv-207J,24,47000,RENT,7.0
2XyUzvdj-TMZ3,28,108000,MORTGAGE,6.0
3G4B0ela-wchu,30,56400,RENT,1.0
Q9g7dTXG-HEdZ,29,115000,rent,5.0
np657dRs-aK5w,28,78000,rent,5.0
U4QEz4xo-pEAI,43,98760,RENT,8.0
5z8o3Dzz-hUhk,23,54000,rent,1.0
dpHIN937-3HXy,22,37000,mortgage,7.0
fuuOfly3-7pBh,42,39996,MORTGAGE,2.0
PTfoZxUD-iqog,38,200000,mortgage,0.0
4l5D4nIg-bQWU,27,34000,rent,0.0
awrzPmuL-rHu0,23,52800,mortgage,7.0
3vo7Imkv-6cf7,32,130000,mortgage,7.0
pI1aW4xl-3NaD,23,62900,rent,7.0
HpUaRQo3-invS,25,15000,own,2.0
LzzI0eSi-DN94,26,40000,RENT,4.0
lXGelN2X-2ItP,,59000,RENT,2.0
jQU42Nxc-jDlt,23,113000,MORTGAGE,4.0
67FPTdAb-p9Ux,24,130000,mortgage,3.0
cFpz2thZ-bXtH,29,69000,MORTGAGE,5.0
RA1I9Ybt-BmA1,22,81996,mortgage,7.0
d0YRlkdZ-nuLT,28,83000,MORTGAGE,6.0
zkFNiaiq-S3KA,29,150000,MORTGAGE,14.0
ohaO9hZt-EOHZ,27,40000,RENT,3.0
4cU3JgCH-wskH,23,57000,RENT,0.0
sNhI94Is-XM5H,40,116000,mortgage,3.0
0zTaE1t6-Jbkg,29,60000,rent,11.0
Eo5jqOfw-QNtC,30,67692,MORTGAGE,
DZLT1ITS-zJFj,24,46500,rent,2.0
Z5vhPtGl-EAJ9,27,24000,rent,5.0
GurxF3bh-ova4,34,26496,own,7.0
Xw48G3Ub-zfyl,27,37000,RENT,
r4eUHgTA-YFa3,27,45000,MORTGAGE,3.0
E7TTiZzU-cjFT,25,47052,RENT,5.0
XSUjbpTi-b8gS,26,38904,MORTGAGE,1.0
jL1ogTmi-uIKC,21,32868,OWN,2.0
I4DCy75Y-LKeI,23,64000,mortgage,7.0
kBXDSFes-JNjO,22,65000,rent,1.0
4wRaSHcL-jIK0,25,60000,RENT,6.0
5FyhiwYs-Gjvx,24,113676,MORTGAGE,8.0
bIYK78Qc-2Jks,22,21996,rent,0.0
HtofIPoD-juDn,29,115000,MORTGAGE,7.0
NWosMvGv-WBOP,34,564000,RENT,2.0
w9iQfliH-cUEH,29,200000,OWN,13.0
isheO2Hq-20Ao,23,20400,RENT,2.0
tHElGIaf-w88Z,25,39600,mortgage,5.0
v4ZSs1bw-7hoC,22,100000,RENT,3.0
dv737ikP-W0ER,22,36000,rent,4.0
rdXQQ5mF-C4KU,33,132444,rent,4.0
H8pQ8q24-xkgP,28,92000,MORTGAGE,5.0
KoyFBbks-gi45,33,21000,RENT,0.0
CSvKYIdA-hkcI,25,129600,mortgage,0.0
8nxX7uXC-Lp3L,46,29004,mortgage,4.0
JbgAI0hA-2i0G,24,105000,RENT,2.0
njGBnugm-85Dv,30,110400,rent,1.0
P0Xyab3y-tzMd,25,12000,own,0.0
ZCIBgig9-xiNX,29,19200,rent,4.0
qkEIMORo-XBMh,33,36000,MORTGAGE,17.0
7FuRPybf-tjaj,22,75000,RENT,5.0
JianLh4r-I09Q,22,67000,MORTGAGE,0.0
EmqUmLya-cO58,24,18000,MORTGAGE,0.0
Kv0lA2p7-1ZIf,21,53000,OWN,5.0
r0jkmQE9-ZSgj,28,49000,MORTGAGE,5.0
WNCMZqR7-4Jlj,27,72000,MORTGAGE,9.0
E63mnQi1-Qnac,30,35000,RENT,5.0
yFWLlsUT-BvHy,29,85000,MORTGAGE,12.0
BnSdJMur-QSk9,22,10000,RENT,
NM51l6IJ-WTXU,23,57000,mortgage,6.0
ZZ41xYZt-oZch,31,26988,RENT,
rz6jRREt-kpuD,23,72000,mortgage,7.0
Ge475RBL-tUyC,38,34800,MORTGAGE,2.0
6dHXaMeN-2N08,31,84000,MORTGAGE,3.0
ex2uo81z-jSFD,,110000,mortgage,16.0
9cNgKX7O-zU5b,28,31000,own,0.0
kydvTtHi-7IEr,31,101416,mortgage,9.0
FS8WpMJb-ta3M,25,45000,rent,3.0
3Luy1hUx-zq5X,40,85000,mortgage,4.0
UmPyshab-dq2L,24,70000,RENT,8.0
8GT3d7G7-5Ds7,21,24960,mortgage,0.0
ydGLEabG-sgyR,23,95620,MORTGAGE,7.0
1vmTMTiy-htca,29,40000,RENT,14.0
xmRrMNjP-qe2r,22,51300,OWN,6.0
WgJ6BRe9-wRiC,30,39600,mortgage,11.0
yPWjoe7w-4rfH,25,30000,MORTGAGE,4.0
igpSRic5-Tadk,30,75480,rent,1.0
DuOORt0L-LOIL,22,36000,RENT,4.0
O0KGj4rY-DSFZ,22,39000,mortgage,6.0
spf3nTfM-wRos,24,73000,MORTGAGE,8.0
5yFxWjLc-0S4N,23,57500,RENT,2.0
Qws8F0Qj-7I07,35,85000,RENT,
DoyI6xRQ-2vbh,28,60000,MORTGAGE,12.0
swlARmiL-73TA,23,75000,mortgage,4.0
aUOJZ7J3-Pi2u,25,107000,MORTGAGE,4.0
qoE3vPKw-DUSG,24,72000,rent,4.0
HnJ6hsi3-FKe7,26,130000,MORTGAGE,10.0
GN6ytQnE-DzMK,24,117996,MORTGAGE,6.0
4dBgF6pe-dP8Q,23,68500,mortgage,7.0
qEm5alYq-wSGX,24,72000,MORTGAGE,1.0
MfipiCtr-qrCj,21,21600,OWN,
NxxNZa7w-bzFa,24,43680,RENT,1.0
gpvtu18j-leWY,31,80000,MORTGAGE,6.0
txF3hYf0-RhU4,32,42000,rent,6.0
7QiejIe7-pwy5,28,13500,OWN,0.0
dSQxQay2-ZH8j,29,24000,RENT,1.0
tlG5zU3i-esYR,26,19200,OWN,7.0
EkY1M9r3-kZBj,22,70000,mortgage,3.0
Hpi4nBg4-XhIm,23,40000,MORTGAGE,7.0
s4wLAg7Z-BSRr,23,80000,MORTGAGE,7.0
FfDex8tM-vsSx,28,78465,OWN,9.0
b2U2zhMP-lPDc,22,30000,mortgage,0.0
oHtuOuNl-jDBL,23,32000,RENT,4.0
MykfHzQ7-4JB7,26,61000,MORTGAGE,10.0
uMBb17OO-qik7,23,32388,MORTGAGE,0.0
36MsdO7D-uGa8,27,33000,RENT,7.0
HXJOHjDm-NtaN,38,110000,own,6.0
fsf4ySbt-98Ck,,18000,rent,4.0
tUBwuKiN-bLqz,25,45000,MORTGAGE,4.0
O3yYTcvN-aCvH,38,67200,MORTGAGE,11.0
KfXD7SA4-u8n0,28,55000,mortgage,6.0
ezOvm7FS-YPP8,39,55059,RENT,16.0
3kddPdWB-uT2q,34,86000,RENT,4.0
CeagASdu-IzPS,27,100000,mortgage,2.0
G0UApxLy-OfNs,24,85000,mortgage,1.0
dTPD8GfL-g9Ki,22,62000,MORTGAGE,6.0
rY0PFy7Y-F8Kb,22,87800,rent,3.0
7X6LLDXC-rnMX,39,110000,RENT,5.0
v0ZRnqyX-HRgu,32,153000,MORTGAGE,5.0
ICprTb6t-yPXf,25,42000,RENT,3.0
Fvl0ysLb-yWEI,27,43080,RENT,7.0
fTM824iw-aCL9,44,45000,RENT,0.0
uzCp4jsb-3lLR,26,75000,mortgage,2.0
d9b4PSmL-esyB,32,45489,mortgage,13.0
11wMIZih-2omy,25,30000,OWN,3.0
Xob2e0m8-miQK,70,132000,MORTGAGE,0.0
vUxDC8PA-L7dS,22,60000,mortgage,6.0
gpMhlW24-kCij,23,32000,rent,2.0
XMDiTRyW-Zix4,30,41000,RENT,14.0
fy4YjexM-JYTS,28,37000,MORTGAGE,3.0
EKOIvLZr-bMcS,32,60040,rent,1.0
LgFCvbQt-i6Lt,23,78000,RENT,7.0
tREBnFsO-MvyH,25,55000,own,1.0
4FcucWcR-6aG9,28,44900,RENT,12.0
Rb8k12Zq-S58b,27,24000,rent,2.0
MgZnG3rw-DyPJ,23,38850,RENT,0.0
cEEktdK2-vAje,26,100000,RENT,3.0
H5vO8pGZ-2w71,45,60000,RENT,4.0
jfOTw6Zt-btgg,25,80000,OWN,6.0
fcYMrR1k-i05J,23,35000,rent,5.0
bvxfcsYz-78hf,24,62400,RENT,8.0
TccooMuS-9WMJ,21,21600,rent,
D8rpRIrW-avlI,22,,rent,2.0
9cJ7f3A0-5lH7,22,60000,RENT,0.0
xG2Xx7fq-dZ2x,22,75000,rent,6.0
33bzPi0l-qoKx,32,52500,MORTGAGE,9.0
pmrtaiwu-FcGv,23,33000,rent,2.0
WntQ1h0g-ndF5,25,86004,rent,1.0
ZpQu9eui-Nlbo,24,47000,rent,8.0
9EST0hn1-52gs,27,75400,mortgage,3.0
rnmvKYXb-DbE7,60,49008,OWN,5.0
hUTCf2mg-Lsiq,21,26400,RENT,
2MvEKvPT-w7Zq,31,54200,rent,4.0
9scQo4vJ-Dnd7,22,30000,rent,1.0
ByuDG1Xk-R6wA,28,55000,MORTGAGE,4.0
ECRN2m41-67cs,25,80004,RENT,9.0
GIJ435AZ-T163,21,40116,rent,2.0
gtS9la4K-irxi,27,100000,MORTGAGE,11.0
siZXIBa5-x19X,,21600,RENT,
Wm7On6Ki-70Ch,21,51000,MORTGAGE,5.0
a0oCgIUk-XbHt,26,132000,mortgage,10.0
vxSRsB72-r0df,32,220000,MORTGAGE,13.0
G4y3iuOM-jsvl,28,97296,MORTGAGE,12.0
LaSat9Sk-zLa0,23,250000,mortgage,7.0
j3g4jq1D-4yrp,23,69000,rent,0.0
8HJkpRUF-fE2T,24,40000,mortgage,3.0
zSqbf13s-vYQn,23,41000,rent,1.0
Bmr8b23Z-IyEL,30,58000,mortgage,2.0
WE7yCKwI-ZlnH,25,160000,MORTGAGE,1.0
1QnOzAoH-8pJc,70,30000,rent,
n5kjPGXc-X26m,28,22188,RENT,9.0
NfMOCLXS-NRJf,28,125000,mortgage,12.0
Nvnm9CTH-C7k2,28,127500,MORTGAGE,5.0
g2jh6aFN-IcMS,21,95000,,5.0
TlX1XFhU-1nOE,38,140000,MORTGAGE,2.0
hK9rNdoH-ngvF,26,51500,OWN,10.0
yvpFGUgQ-mKFT,28,20000,rent,0.0
3A3eQt9i-ymN5,23,60000,RENT,4.0
LHiNCTAj-LUj8,37,68500,RENT,2.0
Q0Opm4w1-JUGt,22,52000,MORTGAGE,6.0
uq0155IY-YTeP,22,26000,RENT,0.0
Nu0P10J0-PBJC,27,54400,MORTGAGE,11.0
Wwg6CqLb-EZ5A,23,64500,MORTGAGE,8.0
wFe9kO6d-XR1F,26,59000,rent,3.0
3KidGhfN-AjuF,28,57408,rent,2.0
vNYYXDrL-WHCt,23,38000,RENT,0.0
R3XUEoLU-tcvG,40,45996,RENT,4.0
ovzojcOY-mWNW,31,88560,MORTGAGE,16.0
oxfr5wEr-pnjf,27,15085,RENT,2.0
RvwOqlp2-xHZu,23,55000,MORTGAGE,7.0
ntj6agli-rMCa,23,21600,rent,2.0
AtehsKyP-PUm4,22,60000,MORTGAGE,5.0
8hCUbe7y-YFN5,24,54000,MORTGAGE,5.0
BecjhS5z-OUvW,28,49000,RENT,2.0
vmBCPbcZ-uaZr,24,76000,RENT,6.0
Pmvpbbop-jKHL,22,43000,MORTGAGE,6.0
Itbyogy0-iRkL,26,38100,MORTGAGE,6.0
8oR3orjm-L4Bt,22,74000,MORTGAGE,6.0
aWKCNtBw-aIvr,23,69000,mortgage,0.0
lJGJxFTG-RJaa,24,74004,mortgage,7.0
TgB3cLYE-tz41,48,60000,mortgage,0.0
yAmXMHqc-TMpp,31,26010,MORTGAGE,2.0
SsiuOmIu-yDyF,28,60000,OWN,0.0
uDXkpGf0-Y1A3,31,78000,mortgage,0.0
fEAMG1a3-xw7w,25,33600,RENT,6.0
Dwoy2eW7-xbmu,28,56148,mortgage,12.0
6uQopa1f-E6PS,26,50000,own,8.0
f1BRRtoN-A34T,23,38000,RENT,5.0
bt5Uhe31-1TmU,23,45500,OWN,5.0
797src1e-d6fu,21,30000,MORTGAGE,0.0
k6FaDYSo-3EoH,27,39000,rent,0.0
b1g1s0DY-68Hi,26,24480,rent,0.0
e6UBZCqm-1fnL,25,24000,MORTGAGE,0.0
vxlC625g-S9KX,23,38400,mortgage,2.0
7OIu1r6P-JCwW,43,45000,MORTGAGE,3.0
Zydhfhl6-BCIY,33,135000,own,0.0
XrdbJ2NT-8Otq,27,70000,RENT,11.0
m7P04aoP-j6Qj,23,30000,RENT,6.0
LcyCTCWU-5pJX,25,39000,RENT,9.0
85qS4tWk-EAun,23,54000,MORTGAGE,2.0
TqMkt1FG-n6Oa,26,78000,mortgage,7.0
tYqGpmel-Klpi,28,176608,mortgage,1.0
w3npzOMM-uxO9,23,60000,mortgage,8.0
6doDvOub-46nc,26,105000,MORTGAGE,9.0
37bwvDgG-SIGY,23,57000,RENT,0.0
S4p4YD98-2cEk,26,50026,RENT,3.0
4Yz2wD6i-8x80,23,40000,rent,3.0
OavP3Wac-a5oO,24,40000,RENT,3.0
uZuX1g0d-LCu2,33,50000,RENT,1.0
BbisAIz3-ySFg,32,52000,RENT,0.0
hoxwmYCK-CWcb,28,73073,MORTGAGE,8.0
5DAR50TH-U89W,22,51900,MORTGAGE,5.0
fHHO36Ux-lMGm,23,50000,RENT,4.0
bPOgNb8u-wRrO,23,26000,rent,4.0
pNwsCoKq-QpdJ,22,79000,MORTGAGE,6.0
ouUd9080-vLm1,33,130000,mortgage,9.0
WXgJiuqx-UOyU,27,140000,rent,0.0
fk0XqJDe-HChd,25,84996,mortgage,3.0
WQFxiLDX-jF9h,23,44400,rent,0.0
O784tIsv-2hCG,24,42000,rent,1.0
LQoFioEX-ZpZc,26,33000,rent,4.0
psbFx3or-2S4I,29,75000,RENT,3.0
IFb6iadg-yvPo,23,38500,MORTGAGE,2.0
vbwEfJTD-LdID,35,52000,rent,2.0
JAZ8yf9J-mhrx,31,70000,mortgage,11.0
7QhxfaMJ-s7IU,22,32000,RENT,0.0
z7QdrWxa-WcDm,,45000,,2.0
JBsqYH3t-YWyO,25,48000,RENT,3.0
QI16ilEW-AIg2,31,50000,,
G1pWB5Bq-mkFg,25,31200,OWN,9.0
3Fn6Bsv2-lENb,22,42996,RENT,2.0
8b5caH2B-xpiM,46,80000,MORTGAGE,8.0
ZxLL6mXB-aSty,46,48000,RENT,1.0
WuDhHaAR-fJBO,22,29000,RENT,0.0
kUTULgeR-vPlJ,25,50400,RENT,7.0
wa6BiaQp-5ZeR,25,41004,own,9.0
eRyZ6xNS-TKPp,22,32400,rent,7.0
IDGox6g2-3ZAi,26,111000,rent,1.0
7hJICk7Q-zCz1,24,40000,RENT,2.0
rtCx74Z1-eneQ,22,41000,RENT,7.0
JQ5Ak42k-FPCW,27,110000,MORTGAGE,3.0
a5qlu70t-0D0M,21,62000,MORTGAGE,2.0
Z8cri4qQ-5tMA,23,35375,mortgage,7.0
GFuFDtiF-xrM7,22,15000,RENT,0.0
rd1g3w7t-TEIt,31,35000,rent,3.0
EdBidPNB-ObWo,30,114000,MORTGAGE,14.0
ahTXSkbx-SZqO,25,115731,MORTGAGE,3.0
K82hwN8j-48mX,22,70550,RENT,6.0
7TlzCJO3-Gc8i,30,42000,RENT,1.0
HAFuBdEH-Yz9T,26,90000,mortgage,10.0
kQQeca2S-ffk0,23,57600,RENT,3.0
Q9sNigOT-EiPb,28,80000,MORTGAGE,1.0
A4ji00ap-azNU,27,42504,RENT,2.0
st8HCeYM-0Zlt,33,135000,own,0.0
XcZGsZTq-erIQ,26,54996,RENT,0.0
bTfXs3So-cSeF,23,26000,mortgage,2.0
GIoY0hRI-OAYx,33,30000,rent,11.0
gfZWJ8qn-bQKk,48,19200,OWN,1.0
NGMvBorK-GKD2,24,42900,RENT,5.0
lcqRtNAK-T75K,23,40000,RENT,0.0
Fg8WeHjQ-OU2s,25,100000,RENT,3.0
sQNHxKNK-410Q,28,26400,rent,7.0
5BvnWceL-EMy5,22,55000,rent,7.0
qj9W8xl4-oppA,28,68000,RENT,2.0
xG1rC9tK-F4RR,28,61000,rent,3.0
RxO4l7Zj-SOh2,25,12000,rent,
YO6JAYSe-0hfa,28,60000,MORTGAGE,8.0
jrMv39b7-UxF4,27,33500,RENT,0.0
1EoRJ4d4-9gbP,28,56000,rent,7.0
DabAuLpX-XG2z,23,49000,RENT,6.0
Hw6Mpjel-B8jG,26,38400,rent,0.0
C5hyN4uj-t8hk,25,72500,mortgage,3.0
MHuSFE6E-ntRC,27,38300,MORTGAGE,2.0
6MywcyR5-CqoD,44,24000,own,5.0
EPFtHN44-qYH3,25,40800,MORTGAGE,9.0
E6IQYUJF-3CBf,38,25200,RENT,0.0
ZAdBmyG4-eRiv,22,20000,,1.0
MBg8Sndd-NSF5,22,66300,RENT,3.0
ktukGjWi-NWD8,32,72000,RENT,5.0
ZOhFFBIf-NKR9,29,62000,MORTGAGE,10.0
92hE8qzc-fZ4M,28,71652,MORTGAGE,11.0
sgYaqxjQ-BHt5,23,36100,rent,2.0
0lyhzEiK-2P25,25,99473,MORTGAGE,9.0
B7Bwy0bI-LFeT,23,48000,RENT,3.0
jmMnl891-zeTR,25,42000,RENT,9.0
X37IRs9S-wl0A,23,98280,MORTGAGE,7.0
HgzlswZ3-HRNL,23,113000,MORTGAGE,4.0
igtE8vqE-OUnO,23,125000,MORTGAGE,7.0
dBlnTDQu-Flsc,30,59500,mortgage,15.0
JTDL4rdY-ZX45,28,30000,RENT,0.0
GhBogFwq-bhhg,39,72000,RENT,5.0
pFzem7me-tzU9,23,46800,OWN,7.0
nuhO72wG-LCll,25,70000,OWN,9.0
i8tKoD3U-NDPv,,50000,MORTGAGE,4.0
gvJMhAkS-cMyK,22,59000,MORTGAGE,5.0
nJZx9qMv-T4k0,23,60000,MORTGAGE,1.0
lAzWnNWg-QeXZ,23,50000,RENT,5.0
XWBehiWs-sEQQ,33,60000,OWN,7.0
5eIKzpwt-rPK9,33,69600,MORTGAGE,17.0
RooKDIGu-pWO3,22,111000,rent,1.0
HbrydfnA-9ICw,31,37000,MORTGAGE,12.0
JdZ89uPd-ySL8,29,112260,rent,5.0
txiwHqB1-8Im7,24,70000,rent,8.0
ImUUSI4H-a19h,25,69000,MORTGAGE,9.0
Uz8g9PGd-wstE,24,85000,MORTGAGE,5.0
dBB67Mv1-8ydK,28,19200,rent,4.0
hRO9kOL5-Y29L,26,65000,mortgage,11.0
YmcEJPET-kcbF,23,75000,rent,3.0
6c5crqjw-k14Q,23,116000,RENT,7.0
KBEQtCk3-1aPa,23,91000,RENT,2.0
XJAaAiBe-rXa6,24,46700,rent,5.0
D9UkAbQi-fp3l,30,26500,RENT,14.0
wxoig8fS-Brja,27,85000,mortgage,12.0
qLoBFvfI-N033,21,55000,rent,5.0
IFhMevhw-pk5U,23,75576,RENT,7.0
nOv483M0-nEFh,22,50000,own,1.0
C6OPFJe2-EmuW,33,612000,rent,
5NnR5Wdb-rqzf,28,62040,RENT,0.0
qqkBM1mi-20j7,21,146000,mortgage,5.0
Ce9zwKP1-m9Kr,27,45600,mortgage,3.0
211v5RkX-6cgj,23,35000,OWN,2.0
Z4z39Nyy-YLYe,30,200000,RENT,5.0
HuJ2IYdI-k3gS,46,60000,RENT,9.0
6UcX8Wkr-8wXt,36,250000,MORTGAGE,2.0
xrisA5Er-hu46,23,45000,RENT,0.0
Tc8FDNm6-b8OD,22,45000,OWN,4.0
oSqmgeoo-6HcC,29,130900,mortgage,11.0
fKDDQ9UH-cEmB,29,21000,RENT,2.0
ugKZhZiv-bAkQ,30,35000,RENT,6.0
MiayG6ud-FJyl,27,238000,rent,11.0
8FoLHQLx-XpTg,27,51000,rent,3.0
zE3sjcs6-w5m7,32,86000,MORTGAGE,4.0
r8K2Su6c-Jw1f,38,66000,rent,1.0
y8Irx1xG-omFN,31,10200,rent,
qit5xohQ-TqnJ,22,21600,OWN,5.0
IZnpESLX-3euv,34,130000,MORTGAGE,5.0
NPl2fNT0-hz9M,25,93000,mortgage,3.0
8zRKq716-Oj7D,24,75600,MORTGAGE,5.0
BmqWi2a8-MCqb,26,120000,MORTGAGE,10.0
2fceR77B-qfqR,28,45000,RENT,0.0
hgfF1lnx-5acP,24,30996,RENT,0.0
ERTzYdQJ-U3pw,34,110000,RENT,6.0
KDml9CND-N0DP,,80000,mortgage,0.0
J7ms3ivK-NKHa,22,48000,rent,7.0
38nOqzsC-N23U,28,81972,rent,4.0
rUaRAsJM-HaTb,22,130000,MORTGAGE,3.0
6wwUvbdo-uQ84,27,42000,RENT,2.0
lhIpST7c-ojjA,24,52000,MORTGAGE,3.0
hXnSxI5J-s3Gv,29,73000,mortgage,7.0
HcSSfsRl-WSdP,24,50000,RENT,4.0
3L0l89vv-iB5t,25,76700,MORTGAGE,1.0
XuRi7ukP-Xrrr,23,27000,rent,6.0
fGFapOfW-LK7a,27,45000,MORTGAGE,7.0
lLe9qzjH-Q82z,22,53000,MORTGAGE,0.0
JmMpbIz1-jGgX,23,50000,RENT,7.0
PsSkxnjb-6eHN,28,40000,RENT,6.0
S5U9RGZg-rBvN,24,50000,RENT,1.0
2E0mkPaE-2CpY,21,26400,rent,0.0
G1LMAbzZ-nxJn,21,30000,rent,4.0
iBDnA328-10Mx,27,12240,RENT,0.0
Sivpiuku-g8iM,26,105000,MORTGAGE,6.0
4dl8sn2S-TSpS,29,38000,mortgage,5.0
FdCAqCDq-hMhp,26,75000,MORTGAGE,9.0
Ml9mIiEC-fKz1,22,34000,rent,2.0
r7B04ESr-k4AC,27,69000,RENT,5.0
HdZSvLXu-0auS,32,40000,rent,1.0
CTMwX6FN-llFE,28,30000,MORTGAGE,
ymCxqYGx-Effb,24,101000,MORTGAGE,3.0
OYoXLKta-E1Qs,27,38400,RENT,5.0
noSvkcI9-CZvw,24,35364,RENT,1.0
MKfuknSh-bsHu,32,73200,MORTGAGE,1.0
iTT84qed-U90h,24,30000,MORTGAGE,4.0
suYrpYuO-cRve,23,75000,RENT,2.0
dpPZ6Ggg-vmeW,25,31000,RENT,0.0
MnM1KgIj-EJO9,25,95000,rent,8.0
jex3xBR5-fwya,27,110000,rent,5.0
mpfjpS76-GpMH,23,80000,RENT,6.0
7dFrMmKm-cCWw,26,40000,own,0.0
WKNAdUAg-qhzc,28,73200,RENT,2.0
